# in_filename,codec,resolution,rcmode,bitrate,actual_bitrate,psnr,ssim,vmaf
input.mp4,lcevc-x264,1280x720,cbr,2500,2482,36.292075,0.969660,93.995198
input.mp4,lcevc-x264,1280x720,cbr,1000,1066,34.982289,0.960192,90.558758
input.mp4,lcevc-x264,1280x720,cbr,560,605,34.259660,0.952047,86.384172
input.mp4,lcevc-x264,1280x720,cbr,280,301,33.075298,0.937942,77.713714
input.mp4,lcevc-x264,1280x720,cbr,140,148,31.345178,0.915885,62.112453
input.mp4,lcevc-x264,1280x720,cbr,70,70,28.865596,0.879972,38.437678
input.mp4,lcevc-x264,1280x720,cbr,35,38,25.921863,0.831750,12.588923
input.mp4,lcevc-x264,864x480,cbr,2500,2455,33.798623,0.952364,87.425941
input.mp4,lcevc-x264,864x480,cbr,1000,1001,32.565413,0.940537,83.359832
input.mp4,lcevc-x264,864x480,cbr,560,593,31.957631,0.932812,80.278036
input.mp4,lcevc-x264,864x480,cbr,280,305,31.426927,0.922753,73.970716
input.mp4,lcevc-x264,864x480,cbr,140,158,30.676543,0.908208,63.427446
input.mp4,lcevc-x264,864x480,cbr,70,78,29.403953,0.885574,45.777489
input.mp4,lcevc-x264,864x480,cbr,35,40,27.322725,0.851442,21.593180
input.mp4,lcevc-x264,640x360,cbr,2500,2411,32.453610,0.939545,78.998580
input.mp4,lcevc-x264,640x360,cbr,1000,990,31.461065,0.926559,73.558765
input.mp4,lcevc-x264,640x360,cbr,560,570,30.830564,0.917098,69.603970
input.mp4,lcevc-x264,640x360,cbr,280,304,30.262550,0.906324,63.582711
input.mp4,lcevc-x264,640x360,cbr,140,156,29.692940,0.893462,53.970573
input.mp4,lcevc-x264,640x360,cbr,70,80,28.831792,0.875365,39.618126
input.mp4,lcevc-x264,640x360,cbr,35,44,27.389972,0.849113,20.192079
input.mp4,lcevc-x264,432x240,cbr,2500,2328,30.522015,0.915345,63.603385
input.mp4,lcevc-x264,432x240,cbr,1000,972,29.931989,0.902847,57.193551
input.mp4,lcevc-x264,432x240,cbr,560,556,29.485716,0.893382,51.895526
input.mp4,lcevc-x264,432x240,cbr,280,287,28.944138,0.881215,44.984716
input.mp4,lcevc-x264,432x240,cbr,140,155,28.439097,0.869406,37.305668
input.mp4,lcevc-x264,432x240,cbr,70,81,27.895036,0.856376,26.773477
input.mp4,lcevc-x264,432x240,cbr,35,43,27.063417,0.839174,13.415752
input.mp4,lcevc-x264,216x120,cbr,2500,2221,27.895600,0.865330,20.407826
input.mp4,lcevc-x264,216x120,cbr,1000,920,27.544566,0.856229,14.731182
input.mp4,lcevc-x264,216x120,cbr,560,518,27.321543,0.850342,11.525949
input.mp4,lcevc-x264,216x120,cbr,280,273,27.004187,0.841693,7.304800
input.mp4,lcevc-x264,216x120,cbr,140,140,26.645715,0.832205,3.234301
input.mp4,lcevc-x264,216x120,cbr,70,74,26.179175,0.820452,0.325971
input.mp4,lcevc-x264,216x120,cbr,35,43,25.761956,0.810460,0.052264
input.mp4,x264,1280x720,cbr,2500,2319,43.078324,0.986839,96.007734
input.mp4,x264,1280x720,cbr,1000,984,39.531436,0.977045,92.011822
input.mp4,x264,1280x720,cbr,560,568,37.111085,0.966645,86.600258
input.mp4,x264,1280x720,cbr,280,287,33.710493,0.942719,73.072106
input.mp4,x264,1280x720,cbr,140,148,30.032794,0.897641,48.725013
input.mp4,x264,1280x720,cbr,70,79,26.601667,0.835574,21.335693
input.mp4,x264,1280x720,cbr,35,46,23.267973,0.787927,2.409162
input.mp4,x264,864x480,cbr,2500,2429,36.982554,0.974209,90.815447
input.mp4,x264,864x480,cbr,1000,1002,36.134288,0.966340,87.954585
input.mp4,x264,864x480,cbr,560,570,35.252709,0.958425,84.275106
input.mp4,x264,864x480,cbr,280,288,33.680050,0.943449,75.738420
input.mp4,x264,864x480,cbr,140,148,31.447981,0.917213,59.139621
input.mp4,x264,864x480,cbr,70,79,28.733055,0.875542,35.107358
input.mp4,x264,864x480,cbr,35,44,25.956097,0.829194,14.708004
input.mp4,x264,640x360,cbr,2500,2453,34.067362,0.960070,83.850312
input.mp4,x264,640x360,cbr,1000,1006,33.749469,0.953852,81.566271
input.mp4,x264,640x360,cbr,560,571,33.356162,0.947134,78.556686
input.mp4,x264,640x360,cbr,280,289,32.545846,0.934868,71.697663
input.mp4,x264,640x360,cbr,140,149,31.224674,0.915462,58.891004
input.mp4,x264,640x360,cbr,70,79,29.365490,0.885616,39.639096
input.mp4,x264,640x360,cbr,35,44,27.027600,0.847808,18.711481
input.mp4,x264,432x240,cbr,2500,2466,31.276957,0.933716,70.116973
input.mp4,x264,432x240,cbr,1000,1008,31.186721,0.930029,68.544942
input.mp4,x264,432x240,cbr,560,568,31.067488,0.925778,66.559556
input.mp4,x264,432x240,cbr,280,289,30.799751,0.917746,62.095585
input.mp4,x264,432x240,cbr,140,149,30.284839,0.905309,53.865248
input.mp4,x264,432x240,cbr,70,79,29.384712,0.886606,40.705485
input.mp4,x264,432x240,cbr,35,44,27.942080,0.860401,22.852421
input.mp4,x264,216x120,cbr,2500,1738,28.022342,0.872157,23.083225
input.mp4,x264,216x120,cbr,1000,1003,28.009643,0.871389,22.643822
input.mp4,x264,216x120,cbr,560,568,27.985136,0.869990,21.910550
input.mp4,x264,216x120,cbr,280,288,27.927893,0.867085,20.438638
input.mp4,x264,216x120,cbr,140,148,27.805558,0.861916,17.589045
input.mp4,x264,216x120,cbr,70,79,27.552043,0.853633,12.742764
input.mp4,x264,216x120,cbr,35,44,27.061726,0.841715,6.174326
